Name,Type,Disease,Dosage,Dosage Units,Quantity,Quantity Units,MRP,Discount
Paracetamol,tablet,Fever,500,mg,10,qty/strip,5.50,0.50
Aspirin,tablet,Pain,75,mg,15,qty/strip,8.00,0
Ibuprofen,tablet,Inflammation,400,mg,10,qty/strip,12.50,1.50
Amoxicillin,capsule,Bacterial Infection,250,mg,10,qty/strip,45.00,5.00
Metformin,tablet,Diabetes,500,mg,15,qty/strip,8.75,0.75
Insulin,injection,Diabetes,10,ml,1,ml,450.00,20.00
Cough Syrup,syrup,Cough,100,ml,1,ml,85.00,5.00
Ciprofloxacin,tablet,Bacterial Infection,500,mg,10,qty/strip,95.00,10.00
Omeprazole,capsule,Acidity,20,mg,10,qty/strip,25.00,2.50
Cetirizine,tablet,Allergy,10,mg,10,qty/strip,6.50,0.50
Azithromycin,tablet,Bacterial Infection,500,mg,5,qty/strip,125.00,15.00
Dextromethorphan,syrup,Cough,150,ml,1,ml,95.50,5.50
Atorvastatin,tablet,Cholesterol,10,mg,15,qty/strip,35.00,3.00
Losartan,tablet,Hypertension,50,mg,10,qty/strip,42.00,4.00
Vitamin D3,tablet,Vitamin Deficiency,60000,IU,4,qty/strip,28.00,2.00
Amoxicillin Injection,injection,Severe Infection,1000,mg,1,ml,125.00,12.50
Pantoprazole,tablet,GERD,40,mg,10,qty/strip,18.50,1.50
Ranitidine,tablet,Acidity,150,mg,15,qty/strip,12.00,1.00
Salbutamol,syrup,Asthma,100,ml,1,ml,65.00,5.00
Prednisolone,tablet,Inflammation,5,mg,10,qty/strip,15.00,1.50
